Semester,Course,Random ID,Topic,Comments,Section,Sentiments,tsne_x,tsne_y,cluster,wrapped,feedback
F 2024,CH EN 263 ,671000000000.0,Question: Well organized,It felt very rushed,001,negative,-1.8551859,8.0008745,95,It felt very rushed,F 2024 CH EN 263 :It felt very rushed
F 2024,CH EN 263 ,778000000000.0,Question: Well organized,The course content was organized well.,001,positive,-2.1702561,0.5286033,49,The course content was organized well.,F 2024 CH EN 263 :The course content was organized well.
F 2024,CH EN 263 ,684000000000.0,Question: Well organized,Great class website! It was very helpful.,001,positive,-1.4275832,1.3813527,49,Great class website! It was very helpful.,F 2024 CH EN 263 :Great class website! It was very helpful.
F 2024,CH EN 263 ,116000000000.0,Question: Well organized,I think the way he organized the class was helpful to understand the main concepts.,001,positive,-0.8106048,0.47010258,2,I think the way he organized the class was helpful<br>to understand the main concepts.,F 2024 CH EN 263 :I think the way he organized the class was helpful<br>to understand the main concepts.
F 2024,CH EN 263 ,566000000000.0,Question: Well organized,i like the flipped classroom method he uses.,001,positive,2.269519,0.77492,73,i like the flipped classroom method he uses.,F 2024 CH EN 263 :i like the flipped classroom method he uses.
F 2024,CH EN 263 ,722000000000.0,Question: Well organized,the exam style changed from the first to the second  the videos were ineffective at delivering the material in a digestible way  the quizzes were only open for a 24 hour period on the days we did not have class  meaning students would have to alter their schedules to make it work and take the quiz  instead of integrating it into their homework time that was already scheduled out.,001,negative,-2.1530776,-3.9957838,35,the exam style changed from the first to the<br>second  the videos were ineffective at delivering<br>the material in a digestible way  the quizzes were<br>only open for a 24 hour period on the days we did<br>not have class  meaning students would have to<br>alter their schedules to make it work and take the<br>quiz  instead of integrating it into their<br>homework time that was already scheduled out.,F 2024 CH EN 263 :the exam style changed from the first to the<br>second  the videos were ineffective at delivering<br>the material in a digestible way  the quizzes were<br>only open for a 24 hour period on the days we did<br>not have class  meaning students would have to<br>alter their schedules to make it work and take the<br>quiz  instead of integrating it into their<br>homework time that was already scheduled out.
F 2024,CH EN 263 ,947000000000.0,Question: Well organized,the course felt like drinking from a full-force fire hose  and that''s coming from someone who has taken python coding before.,001,negative,-0.9325747,-3.198064,58,the course felt like drinking from a full-force<br>fire hose  and that''s coming from someone who has<br>taken python coding before.,F 2024 CH EN 263 :the course felt like drinking from a full-force<br>fire hose  and that''s coming from someone who has<br>taken python coding before.
F 2024,CH EN 263 ,599000000000.0,Question: Well organized,Github is a great place for much of the course information,001,positive,-2.4100716,-0.12993716,49,Github is a great place for much of the course<br>information,F 2024 CH EN 263 :Github is a great place for much of the course<br>information
F 2024,CH EN 263 ,269000000000.0,Question: Well organized,Course website was very helpful.,001,positive,-1.6512345,0.95778877,49,Course website was very helpful.,F 2024 CH EN 263 :Course website was very helpful.
F 2024,CH EN 263 ,449000000000.0,Question: Well organized,I appreciate how intentionally he did everything with the course.,001,positive,-1.1726298,1.0567186,49,I appreciate how intentionally he did everything<br>with the course.,F 2024 CH EN 263 :I appreciate how intentionally he did everything<br>with the course.
F 2024,CH EN 263 ,671000000000.0,Question: Opportunities to get help,Sometimes he didn''t really answer the question that was asked  but he was overall helpful.,001,positive,1.5524074,4.725936,1,Sometimes he didn''t really answer the question<br>that was asked  but he was overall helpful.,F 2024 CH EN 263 :Sometimes he didn''t really answer the question<br>that was asked  but he was overall helpful.
F 2024,CH EN 263 ,778000000000.0,Question: Opportunities to get help,He was very available and open for us to come to him outside of class or inside of class to ask questions  receive help and assistance  and for other needs.,001,positive,2.001449,2.3767176,73,He was very available and open for us to come to<br>him outside of class or inside of class to ask<br>questions  receive help and assistance  and for<br>other needs.,F 2024 CH EN 263 :He was very available and open for us to come to<br>him outside of class or inside of class to ask<br>questions  receive help and assistance  and for<br>other needs.
F 2024,CH EN 263 ,684000000000.0,Question: Opportunities to get help,Very kind and patient. Always willing to help even if it was for projects outside of class.,001,positive,2.1060467,2.3991718,7,Very kind and patient. Always willing to help even<br>if it was for projects outside of class.,F 2024 CH EN 263 :Very kind and patient. Always willing to help even<br>if it was for projects outside of class.
F 2024,CH EN 263 ,808000000000.0,Question: Opportunities to get help,He had open office hours and would often meet longer than his scheduled office hours,001,positive,2.4328935,3.186984,63,He had open office hours and would often meet<br>longer than his scheduled office hours,F 2024 CH EN 263 :He had open office hours and would often meet<br>longer than his scheduled office hours
F 2024,CH EN 263 ,116000000000.0,Question: Opportunities to get help,Clint Guymon is a very effective instructor. He is always willing to help students who are struggling with the course material. He provides a lot of opportunities for students to ask questions and get clarification on the material. He is very patient and understanding  and he makes sure that every student understands the content of the class.,001,positive,4.2644787,-2.758497,98,Clint Guymon is a very effective instructor. He is<br>always willing to help students who are struggling<br>with the course material. He provides a lot of<br>opportunities for students to ask questions and<br>get clarification on the material. He is very<br>patient and understanding  and he makes sure that<br>every student understands the content of the<br>class.,F 2024 CH EN 263 :Clint Guymon is a very effective instructor. He is<br>always willing to help students who are struggling<br>with the course material. He provides a lot of<br>opportunities for students to ask questions and<br>get clarification on the material. He is very<br>patient and understanding  and he makes sure that<br>every student understands the content of the<br>class.
F 2024,CH EN 263 ,155000000000.0,Question: Opportunities to get help,Doctor Guymon made lots of effort in ensuring that students who were struggling were able to meet with him.,001,positive,7.308835,-5.3700533,83,Doctor Guymon made lots of effort in ensuring that<br>students who were struggling were able to meet<br>with him.,F 2024 CH EN 263 :Doctor Guymon made lots of effort in ensuring that<br>students who were struggling were able to meet<br>with him.
F 2024,CH EN 263 ,947000000000.0,Question: Opportunities to get help,Dr. Guymon is wonderful  i do feel like the class itself was stacked against him. He did the best he could  but with little clear instruction from the curiculum side it felt like he was a bit lost at times.,001,negative,4.397565,-5.119936,6,Dr. Guymon is wonderful  i do feel like the class<br>itself was stacked against him. He did the best he<br>could  but with little clear instruction from the<br>curiculum side it felt like he was a bit lost at<br>times.,F 2024 CH EN 263 :Dr. Guymon is wonderful  i do feel like the class<br>itself was stacked against him. He did the best he<br>could  but with little clear instruction from the<br>curiculum side it felt like he was a bit lost at<br>times.
F 2024,CH EN 263 ,599000000000.0,Question: Opportunities to get help,Dr guymon whent out of his way on multiple occasions to help students me included,001,positive,7.128149,-5.356275,83,Dr guymon whent out of his way on multiple<br>occasions to help students me included,F 2024 CH EN 263 :Dr guymon whent out of his way on multiple<br>occasions to help students me included
F 2024,CH EN 263 ,449000000000.0,Question: Opportunities to get help,He''s super willing to talk and meet outside of class. I love that he has candy in his office for students who come to office hours. He''s super willing and able to explain any concept and answe any question.,001,positive,1.6434758,1.3677969,75,He''s super willing to talk and meet outside of<br>class. I love that he has candy in his office for<br>students who come to office hours. He''s super<br>willing and able to explain any concept and answe<br>any question.,F 2024 CH EN 263 :He''s super willing to talk and meet outside of<br>class. I love that he has candy in his office for<br>students who come to office hours. He''s super<br>willing and able to explain any concept and answe<br>any question.
F 2024,CH EN 263 ,778000000000.0,Question: Opportunities for student involvement,A lot of class was just following long with his code that he was typing and asking questions instead of us coding ourselves. Maybe he could include more exercises that we can try first and then he could go over it together or something.,001,negative,-1.1321224,-2.9231246,12,A lot of class was just following long with his<br>code that he was typing and asking questions<br>instead of us coding ourselves. Maybe he could<br>include more exercises that we can try first and<br>then he could go over it together or something.,F 2024 CH EN 263 :A lot of class was just following long with his<br>code that he was typing and asking questions<br>instead of us coding ourselves. Maybe he could<br>include more exercises that we can try first and<br>then he could go over it together or something.
F 2024,CH EN 263 ,684000000000.0,Question: Opportunities for student involvement,Great hands on homework assignments to learn Python and Excel. Fun end of semester project. Some awesome demos in class.,001,positive,-3.104229,0.08809413,43,Great hands on homework assignments to learn<br>Python and Excel. Fun end of semester project.<br>Some awesome demos in class.,F 2024 CH EN 263 :Great hands on homework assignments to learn<br>Python and Excel. Fun end of semester project.<br>Some awesome demos in class.
F 2024,CH EN 263 ,808000000000.0,Question: Opportunities for student involvement,Lectures could be hard to follow along but the homework would always have us engaged,001,positive,-3.7480302,-5.4470053,15,Lectures could be hard to follow along but the<br>homework would always have us engaged,F 2024 CH EN 263 :Lectures could be hard to follow along but the<br>homework would always have us engaged
F 2024,CH EN 263 ,116000000000.0,Question: Opportunities for student involvement,Clint Guymon is a very effective instructor. He always tries to do interactive activities and examples. He is very knowledgeable and makes the class interesting. I would definitely recommend him to other students.,001,positive,4.221113,-2.814254,98,Clint Guymon is a very effective instructor. He<br>always tries to do interactive activities and<br>examples. He is very knowledgeable and makes the<br>class interesting. I would definitely recommend<br>him to other students.,F 2024 CH EN 263 :Clint Guymon is a very effective instructor. He<br>always tries to do interactive activities and<br>examples. He is very knowledgeable and makes the<br>class interesting. I would definitely recommend<br>him to other students.
F 2024,CH EN 263 ,449000000000.0,Question: Opportunities for student involvement,The course coveres a lot of content  but despite that he did a good job of making the pre-class  in class  homework  and quiz/tests all be well coordinated with each other  which I really appreciate. Everything we did in the class had a purpose  I didn''t every feel like what I was doing was busywork.,001,positive,-1.981174,-0.18251169,43,The course coveres a lot of content  but despite<br>that he did a good job of making the pre-class  in<br>class  homework  and quiz/tests all be well<br>coordinated with each other  which I really<br>appreciate. Everything we did in the class had a<br>purpose  I didn''t every feel like what I was<br>doing was busywork.,F 2024 CH EN 263 :The course coveres a lot of content  but despite<br>that he did a good job of making the pre-class  in<br>class  homework  and quiz/tests all be well<br>coordinated with each other  which I really<br>appreciate. Everything we did in the class had a<br>purpose  I didn''t every feel like what I was<br>doing was busywork.
F 2024,CH EN 263 ,778000000000.0,Question: Responded to students respectfully,He was super respectful of us and showed that he cared about our opinions  questions  and concerns.,001,positive,3.916298,4.764651,92,He was super respectful of us and showed that he<br>cared about our opinions  questions  and concerns.,F 2024 CH EN 263 :He was super respectful of us and showed that he<br>cared about our opinions  questions  and concerns.
F 2024,CH EN 263 ,808000000000.0,Question: Responded to students respectfully,One of the best professors I have ever had in terms of this. He is so approachable and friendly  and very respectful  and very accommadating.,001,positive,1.6969177,1.1520655,75,One of the best professors I have ever had in<br>terms of this. He is so approachable and friendly<br>and very respectful  and very accommadating.,F 2024 CH EN 263 :One of the best professors I have ever had in<br>terms of this. He is so approachable and friendly<br>and very respectful  and very accommadating.
F 2024,CH EN 263 ,116000000000.0,Question: Responded to students respectfully,I really like this instructor. He is very respectful and always has a good attitude towards students'' questions.,001,positive,0.22500104,1.1607529,7,I really like this instructor. He is very<br>respectful and always has a good attitude towards<br>students'' questions.,F 2024 CH EN 263 :I really like this instructor. He is very<br>respectful and always has a good attitude towards<br>students'' questions.
F 2024,CH EN 263 ,449000000000.0,Question: Responded to students respectfully,Extreemly respectful and kind to all students.,001,positive,3.0870824,2.2773843,7,Extreemly respectful and kind to all students.,F 2024 CH EN 263 :Extreemly respectful and kind to all students.
F 2024,CH EN 263 ,671000000000.0,Question: Spiritually strengthening,I appreciated the short spiritual thoughts at the beginning of classes.,001,positive,6.4757214,0.87441146,30,I appreciated the short spiritual thoughts at the<br>beginning of classes.,F 2024 CH EN 263 :I appreciated the short spiritual thoughts at the<br>beginning of classes.
F 2024,CH EN 263 ,778000000000.0,Question: Spiritually strengthening,He always started class with a solid spiritual thought and a prayer.,001,positive,6.646576,1.1771635,30,He always started class with a solid spiritual<br>thought and a prayer.,F 2024 CH EN 263 :He always started class with a solid spiritual<br>thought and a prayer.
F 2024,CH EN 263 ,684000000000.0,Question: Spiritually strengthening,I love the spiritual thoughts at the beginning of every class. I can just tell how faithful he is by the way he talks about the gospel.,001,positive,5.608725,1.1599556,53,I love the spiritual thoughts at the beginning of<br>every class. I can just tell how faithful he is by<br>the way he talks about the gospel.,F 2024 CH EN 263 :I love the spiritual thoughts at the beginning of<br>every class. I can just tell how faithful he is by<br>the way he talks about the gospel.
F 2024,CH EN 263 ,808000000000.0,Question: Spiritually strengthening,He had a spiritual thought at the start of each lecture.,001,positive,6.9146814,1.1362697,30,He had a spiritual thought at the start of each<br>lecture.,F 2024 CH EN 263 :He had a spiritual thought at the start of each<br>lecture.
F 2024,CH EN 263 ,116000000000.0,Question: Spiritually strengthening,He always starts class with a spiritual thought.,001,positive,6.7544665,1.1221714,30,He always starts class with a spiritual thought.,F 2024 CH EN 263 :He always starts class with a spiritual thought.
F 2024,CH EN 263 ,722000000000.0,Question: Spiritually strengthening,always gave a spiritual thought  even though it took 10+ minutes of class time on several occasions,001,positive,6.694338,1.1088204,30,always gave a spiritual thought  even though it<br>took 10+ minutes of class time on several<br>occasions,F 2024 CH EN 263 :always gave a spiritual thought  even though it<br>took 10+ minutes of class time on several<br>occasions
F 2024,CH EN 263 ,599000000000.0,Question: Spiritually strengthening,Dr Guymon has shared the most touching spiritual thoughts of any of my classes this year  truth be told im not in any religion classes this semester.,001,positive,6.757905,-2.5331888,68,Dr Guymon has shared the most touching spiritual<br>thoughts of any of my classes this year  truth be<br>told im not in any religion classes this semester.,F 2024 CH EN 263 :Dr Guymon has shared the most touching spiritual<br>thoughts of any of my classes this year  truth be<br>told im not in any religion classes this semester.
F 2024,CH EN 263 ,269000000000.0,Question: Spiritually strengthening,Spiritual thoughts at the beginning of classes were very uplifting.,001,positive,6.6184816,0.9365189,30,Spiritual thoughts at the beginning of classes<br>were very uplifting.,F 2024 CH EN 263 :Spiritual thoughts at the beginning of classes<br>were very uplifting.
F 2024,CH EN 263 ,449000000000.0,Question: Spiritually strengthening,I appreciated the time that he would take to discuss spiritual things (ie quotes  the devo  etc.) in class. He is also a good example of developing our tallents. He would sometimes talk about projects and cool things that he''d done  and that was all just extra-cirrucular. I appreciated that too.,001,positive,4.0213614,1.2275696,53,I appreciated the time that he would take to<br>discuss spiritual things (ie quotes  the devo<br>etc.) in class. He is also a good example of<br>developing our tallents. He would sometimes talk<br>about projects and cool things that he''d done<br>and that was all just extra-cirrucular. I<br>appreciated that too.,F 2024 CH EN 263 :I appreciated the time that he would take to<br>discuss spiritual things (ie quotes  the devo<br>etc.) in class. He is also a good example of<br>developing our tallents. He would sometimes talk<br>about projects and cool things that he''d done<br>and that was all just extra-cirrucular. I<br>appreciated that too.
F 2024,CH EN 263 ,778000000000.0,Question: Intellectually enlarging,I learned to code which enlarged me intellectually.,001,positive,-3.5855315,5.33044,32,I learned to code which enlarged me<br>intellectually.,F 2024 CH EN 263 :I learned to code which enlarged me<br>intellectually.
F 2024,CH EN 263 ,808000000000.0,Question: Intellectually enlarging,I know coding languages now,001,positive,-3.5304167,5.3125787,32,I know coding languages now,F 2024 CH EN 263 :I know coding languages now
F 2024,CH EN 263 ,116000000000.0,Question: Intellectually enlarging,I learned a lot with Doc. Guymon.,001,positive,7.785045,-3.9881668,18,I learned a lot with Doc. Guymon.,F 2024 CH EN 263 :I learned a lot with Doc. Guymon.
F 2024,CH EN 263 ,722000000000.0,Question: Intellectually enlarging,the only things that I actually learned were how to navigate the chemical engineering softwares such as aspen plus. python should be taught in a separate class and those who have already taken cs 142 should not be required to take it. this class would be more beneficial to students if given without focus on general ideas (such as newton''s method) and more focus on specific applications of engineering problems into the softwares.,001,negative,-0.39507973,-3.6331353,58,the only things that I actually learned were how<br>to navigate the chemical engineering softwares<br>such as aspen plus. python should be taught in a<br>separate class and those who have already taken cs<br>142 should not be required to take it. this class<br>would be more beneficial to students if given<br>without focus on general ideas (such as newton''s<br>method) and more focus on specific applications of<br>engineering problems into the softwares.,F 2024 CH EN 263 :the only things that I actually learned were how<br>to navigate the chemical engineering softwares<br>such as aspen plus. python should be taught in a<br>separate class and those who have already taken cs<br>142 should not be required to take it. this class<br>would be more beneficial to students if given<br>without focus on general ideas (such as newton''s<br>method) and more focus on specific applications of<br>engineering problems into the softwares.
F 2024,CH EN 263 ,599000000000.0,Question: Intellectually enlarging,This is a class were I feel that I have gained much useable knowledge that is helping me in my other classes,001,positive,-2.9696908,1.664869,62,This is a class were I feel that I have gained<br>much useable knowledge that is helping me in my<br>other classes,F 2024 CH EN 263 :This is a class were I feel that I have gained<br>much useable knowledge that is helping me in my<br>other classes
F 2024,CH EN 263 ,834000000000.0,Question: Character building,I feel that this course took me a step back in the path of learning. While the course itself is vital  the presentation forced me to focus too much time on completing assignments instead of learning the tools.,001,negative,-2.1409378,-2.6729288,58,I feel that this course took me a step back in the<br>path of learning. While the course itself is vital<br>the presentation forced me to focus too much time<br>on completing assignments instead of learning the<br>tools.,F 2024 CH EN 263 :I feel that this course took me a step back in the<br>path of learning. While the course itself is vital<br>the presentation forced me to focus too much time<br>on completing assignments instead of learning the<br>tools.
F 2024,CH EN 263 ,778000000000.0,Question: Character building,It inspired my character of application of skills to all aspects of life and career.,001,positive,-4.1143837,4.911869,23,It inspired my character of application of skills<br>to all aspects of life and career.,F 2024 CH EN 263 :It inspired my character of application of skills<br>to all aspects of life and career.
F 2024,CH EN 263 ,566000000000.0,Question: Character building,Yes  especially with the other outside of class opportunities he provides.,001,positive,2.4317713,1.3449805,73,Yes  especially with the other outside of class<br>opportunities he provides.,F 2024 CH EN 263 :Yes  especially with the other outside of class<br>opportunities he provides.
F 2024,CH EN 263 ,834000000000.0,Question: Leading to lifelong learning and service,Very valuable principles. Again  execution can use some work.,001,neither,-2.6239927,6.712636,19,Very valuable principles. Again  execution can use<br>some work.,F 2024 CH EN 263 :Very valuable principles. Again  execution can use<br>some work.
F 2024,CH EN 263 ,778000000000.0,Question: Leading to lifelong learning and service,He helped me strive to keep learning and developing myself and use it to help others.,001,positive,3.9078507,2.9856582,46,He helped me strive to keep learning and<br>developing myself and use it to help others.,F 2024 CH EN 263 :He helped me strive to keep learning and<br>developing myself and use it to help others.
F 2024,CH EN 263 ,808000000000.0,Question: Leading to lifelong learning and service,He makes me want to be a better person,001,positive,5.7178073,3.9003036,46,He makes me want to be a better person,F 2024 CH EN 263 :He makes me want to be a better person
F 2024,CH EN 263 ,116000000000.0,Question: Leading to lifelong learning and service,He always tries to teach us about things that we will use in our normal lives  not only working or academic.,001,positive,1.2912874,1.4915273,73,He always tries to teach us about things that we<br>will use in our normal lives  not only working or<br>academic.,F 2024 CH EN 263 :He always tries to teach us about things that we<br>will use in our normal lives  not only working or<br>academic.
F 2024,CH EN 263 ,834000000000.0,Question: Hours spent out of class,I feel that this is too much for a 2 credit-hour class.,001,negative,-4.184442,-3.9156084,89,I feel that this is too much for a 2 credit-hour<br>class.,F 2024 CH EN 263 :I feel that this is too much for a 2 credit-hour<br>class.
F 2024,CH EN 263 ,778000000000.0,Question: Hours spent out of class,I probably spent about 4-6 hours every week depending on the hw assignment because I spent about 2-3 hours every monday and wednesday on the hw assignment and class prework thing.,001,negative,-5.325875,-5.1489487,15,I probably spent about 4-6 hours every week<br>depending on the hw assignment because I spent<br>about 2-3 hours every monday and wednesday on the<br>hw assignment and class prework thing.,F 2024 CH EN 263 :I probably spent about 4-6 hours every week<br>depending on the hw assignment because I spent<br>about 2-3 hours every monday and wednesday on the<br>hw assignment and class prework thing.
F 2024,CH EN 263 ,684000000000.0,Question: Hours spent out of class,I spent about 2 hours per homework assignment and half an hour preparing for each class. Some homework took longer  but this is a good average.,001,positive,-5.179026,-5.1261683,15,I spent about 2 hours per homework assignment and<br>half an hour preparing for each class. Some<br>homework took longer  but this is a good average.,F 2024 CH EN 263 :I spent about 2 hours per homework assignment and<br>half an hour preparing for each class. Some<br>homework took longer  but this is a good average.
F 2024,CH EN 263 ,587000000000.0,Question: Hours spent out of class,The homework took me anywhere from 1hr to 3hrs just depending on the question and how many errors I had and then about 1hr for the pre class things,001,negative,-4.45853,-4.7567625,15,The homework took me anywhere from 1hr to 3hrs<br>just depending on the question and how many errors<br>I had and then about 1hr for the pre class things,F 2024 CH EN 263 :The homework took me anywhere from 1hr to 3hrs<br>just depending on the question and how many errors<br>I had and then about 1hr for the pre class things
F 2024,CH EN 263 ,155000000000.0,Question: Hours spent out of class,The time spent out of class could vary based on the specific unit we were talking about  with some weeks being significantly more or less than this.,001,neither,-6.185647,-5.3138814,94,The time spent out of class could vary based on<br>the specific unit we were talking about  with some<br>weeks being significantly more or less than this.,F 2024 CH EN 263 :The time spent out of class could vary based on<br>the specific unit we were talking about  with some<br>weeks being significantly more or less than this.
F 2024,CH EN 263 ,566000000000.0,Question: Hours spent out of class,at least  sometimes more,001,neither,-0.03437303,9.666777,70,at least  sometimes more,F 2024 CH EN 263 :at least  sometimes more
F 2024,CH EN 263 ,599000000000.0,Question: Hours spent out of class,it varied  but Id say it was about 2 to 2.5 hours per class period.,001,neither,-5.650754,-5.2354236,15,it varied  but Id say it was about 2 to 2.5 hours<br>per class period.,F 2024 CH EN 263 :it varied  but Id say it was about 2 to 2.5 hours<br>per class period.
F 2024,CH EN 263 ,269000000000.0,Question: Hours spent out of class,Most time was spent in the python units doing homeworks  which at times were very challenging.,001,negative,-4.201886,-4.9637127,58,Most time was spent in the python units doing<br>homeworks  which at times were very challenging.,F 2024 CH EN 263 :Most time was spent in the python units doing<br>homeworks  which at times were very challenging.
F 2024,CH EN 263 ,834000000000.0,Question: Additional comments,Teaching Assistants really weren''t very helpful outside of exam reviews. Tended to not know much about coding beyond the bare minimum the course required  which made the experience too focused on how to complete each assignment instead of learning how to code in engineering.,001,negative,-0.4719715,-4.0480394,47,Teaching Assistants really weren''t very helpful<br>outside of exam reviews. Tended to not know much<br>about coding beyond the bare minimum the course<br>required  which made the experience too focused on<br>how to complete each assignment instead of<br>learning how to code in engineering.,F 2024 CH EN 263 :Teaching Assistants really weren''t very helpful<br>outside of exam reviews. Tended to not know much<br>about coding beyond the bare minimum the course<br>required  which made the experience too focused on<br>how to complete each assignment instead of<br>learning how to code in engineering.
F 2024,CH EN 263 ,778000000000.0,Question: Additional comments,The instructor was very kind and helpful and an amazing teacher. I enjoyed his course.,001,positive,-0.7534788,1.2138753,43,The instructor was very kind and helpful and an<br>amazing teacher. I enjoyed his course.,F 2024 CH EN 263 :The instructor was very kind and helpful and an<br>amazing teacher. I enjoyed his course.
F 2024,CH EN 263 ,310000000000.0,Question: Additional comments,I think that the course would be much more effective if it had a larger focus on python and less focus to other miscellaneous tools such as solidworks  Ansys workbench  or aspen plus.,001,negative,-0.43932632,-3.4438212,58,I think that the course would be much more<br>effective if it had a larger focus on python and<br>less focus to other miscellaneous tools such as<br>solidworks  Ansys workbench  or aspen plus.,F 2024 CH EN 263 :I think that the course would be much more<br>effective if it had a larger focus on python and<br>less focus to other miscellaneous tools such as<br>solidworks  Ansys workbench  or aspen plus.
